,LHA11561.0001.1.1.2.1.ZZX6GV14_S1,LHA11561.0002.1.1.2.2.ZZX6GWU2_S2,LHA11561.0003.1.1.2.3.ZZX6GYKK_S3,LHA11561.0004.1.1.2.4.ZZX6H0B2_S4,LHA11561.0005.1.1.6.1.ZZX6GV40_S5,LHA11561.0007.1.1.6.3.ZZX6GYNC_S7,LHA11561.0008.1.1.6.4.ZZX6H0DU_S8,LHA11561.0009.1.1.7.1.ZZX6GV4Q_S9,LHA11561.0010.1.1.7.2.ZZX6GWXJ_S10,LHA11561.0011.1.1.7.3.ZZX6GYO1_S11,LHA11561.0012.1.1.7.4.ZZX6H0EJ_S12,LHA11561.0013.1.1.18.1.ZZX6GVCO_S13,LHA11561.0014.1.1.18.2.ZZX6GX56_S14,LHA11561.0015.1.1.18.3.ZZX6GYVO_S15,LHA11561.0016.1.1.18.4.ZZX6H0M6_S16
34814817b7b4336c7e3440773fc968bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b6a9f73af659f90dbf390313ffcb4016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbfc6882dc7bbd4cd50e770553527ae6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
efeeb50a5b5aba0b195eab91d1687287,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0
7b6e68f05c55cfdaedfd31fef8d651dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a36592d3d8d504f0d69a28335c3088e,0,0,0,0,0,0,0,0,0,1914,0,0,0,0,0
4b6f2cd830c4458860bdcedefa6d480c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac6bcb59787382db3dbf8e6a4d453e9f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9b2b6434db22a4c08e3a3e11a6b974df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c85ffdc4d858f28239e93f2874c7cbab,0,84,34,64,0,0,0,0,0,0,0,72,103,116,80
0fb9dddaba7796aaecfb0e9ebcbac0a3,0,1,0,0,0,68,27,0,0,0,103,0,0,47,88
623f1630a850e126a09622faf86568b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ec6b4339f81fbb522b629ec8dc6bf73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78eff9632a7226885929f87ccd21d8a0,0,0,2,6,0,0,2,17,15,0,0,4,0,0,0
422cf5db11b946738c83080365dd728b,86,312,0,0,0,0,0,0,0,0,0,0,0,0,0
07afd9d22a487aef6a683316fb37e4d9,0,0,0,0,0,0,0,0,0,0,0,0,0,974,0
98b716efcf84b5354368d01c8255dcad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79c012e1d10e4802bd8114d59ccdacbd,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0
60bbff5c93b47972d57a8acc616f5c50,146,227,0,124,0,103,0,0,0,0,0,0,0,0,0
74b92dba39878b37e30066d8f5d5eed8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77cf6c007b6a9d12105fdb21ac2c7d72,0,0,0,0,0,54,0,0,0,0,104,0,0,0,85
170f50af5b8b99fe97d2ec79d3de6d95,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0
670934cdd92ca55efc04686268b196f5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
5f4e7da62e95d8818efbd72fb7d4621f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd9271ebdc160fdb8ffd43a38027e466,0,0,0,0,0,0,0,0,0,0,0,377,152,413,151
63c26f04de050fbd22ffde4600bddc92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a88a0cb1a70babdf451b390ce6db37f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e8c87fce9ac1664dd68761ada73f1427,0,0,0,0,0,0,0,0,0,927,724,0,0,0,0
8dbdcf8f78ead154dc3517f3b654a61a,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
a11dc8ce02609674da9ed7e09c00ae17,0,0,98,125,125,0,0,0,0,0,0,0,0,0,0
fb8d1eaa9a62cac66c2c71961f9743ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e56eba63a672538c407b317200c0969c,0,0,0,0,0,0,14,0,0,0,0,0,12,0,0
6ba6e5fc9274d6d5e351003fc175269e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3dc56f5eab1b42ee63120562eb473bbc,0,0,0,0,0,0,0,0,0,0,0,0,678,345,45
079986607173d3255e64a2e1befd1be3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df68b29a26604b01b72739fb1c7e137f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcc38752464bf1281268790587a46390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f8aca9172cb58a7878b0ce01047d89a,0,0,0,0,0,0,0,0,0,0,0,59,0,1244,192
7bb90a217ba90e8cd5e95450e7d5713e,0,0,0,0,473,861,173,0,0,0,0,0,0,0,0
a66b2bebef147ff8244c104930d0d7eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcfb2cb3f6f3702199a69bfd02edd47f,0,0,0,5,0,0,0,8,10,0,0,0,0,0,0
5e198b9ef628b4e2e71c0ed84e41d4f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33bcdb4bc5094bc0bca46c185741dae9,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0
6a9115a8b60d7e23b29ba034b09fae5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24bff6d0f593aa5d33d6ca53e4f638b4,0,0,0,0,0,10,0,0,0,0,0,10,492,0,0
6ce2374a18f5156a50b7ba1776957817,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0
931fc0f92cab9d303349ae92093b1f13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42832aa8e359534941f582a440336206,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
a0edd026224174fddf656a8bebccb2b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7ffb8476d5c129450318a1e96bf418c0,0,0,0,0,0,0,0,0,0,4,0,0,103,17,0
2d4248b73f992bc240b29fe896793f87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cea89d7c788fc08a179634c5f76c8e6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f82027023503a0e894b83338d09c17cb,0,0,0,0,0,24,0,0,0,41,0,0,0,0,0
5d5daef09f6ae988d7c81651c4ea87b5,96,272,233,179,0,0,0,0,0,0,0,0,0,0,0
25c9975cb5bc423aea07f6dcbf9f2076,0,0,0,0,0,92,31,0,0,0,0,0,85,0,0
c31c5897d8f69302345bafc1c6b3cf4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96a320da806731d1e7134f45a79c347b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bef90047ef04a9c85a6c46341b2f2e38,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0
6ed176c434fb8b249b941988ef3811e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0469d59e0424a284074119b42b56dc9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acd495ec7e7cbf281f14c0333c59899f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d76bf44dfad45703fb536f36f5934e24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0084b62020b0c3d604b9dc0453b179d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12356ec9020095b46f706f3e36079aab,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
4bac6301762bebda96c707477581a149,0,0,0,0,0,0,0,0,0,0,0,10,0,22,0
b0295bad5b860be8e6c61733ee6a5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97776621c610ad2eb66c5308b38c2afa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4689592d66688ef0bfa30151f1a2c47e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8b30c999ce65a7eefcdfa469bfa3814,0,0,0,0,0,446,541,0,0,0,0,0,0,0,0
1d96ba35eba1bbba966256e491d52dc1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2b89511b0c32158bc14426667a48aa8f,3,5,17,11,1,16,59,0,0,0,2,0,1,0,0
5bb93a7381a5fbb5d6a66060b410305b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01bccff7927f7f7d198d71ed6c1e04a0,0,0,0,0,0,0,0,0,0,0,0,9,44,227,0
fae053775364fed9f15bfbb29d0a9f51,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
30ccae11a7b49df11a6b311fe3542027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fdab1affca9cc9b88e3e7c98a887dde7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f3ef4783aeb04b78debd1a34910d4b90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d484a7786943dedb97d91d32403a4b72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9924c8849477f0acffb792c0717b4347,0,0,0,0,0,0,0,0,0,6,0,0,69,65,32
d77258697ad0ba7011872e8cf42c878f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e6b6107e2dc9817e27b98f7dd9b48d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874efbd266f99afb9d9794d249845d22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d24ceca01ca62101efd0b4dbd4f3af81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a3d3bfba8caa2901fa5c8aa6625ad9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407bba0c29b6513b81b8ea6601567d8b,0,61,79,124,36,0,0,0,0,0,0,0,0,0,0
c4328b4a0d0299f27e748a124fd2317f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b65170fbd20b8d9fdad3b4af7874e252,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
dc7f08387585050e2aac1d19695107fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55645ed9b4bfc3c4f62fe6924935d38c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
074d8f2e7eadb242242e36f41e133409,0,0,0,0,0,0,0,0,0,0,0,0,0,189,20
7772ec052ecae8efbad9b54b24ee171b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1dbc36148778c0afc0a03627e84678e,0,0,0,0,0,0,0,0,0,0,0,0,44,174,0
5e911e3f189cb52b9cdc64a7c28c3123,0,0,0,0,0,0,0,0,0,17,0,0,0,6,0
a721ecb9c95c03e4d6e47ea89798b5f9,0,0,3,4,0,0,0,12,6,0,0,4,0,0,0
fb9be67b4222c46b9d0fb467a09adfd4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59e4ef3ed363a060fd8b446de2eddd9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897c69276fb3c8459da90167144541bf,0,0,0,0,128,76,94,0,0,0,0,0,0,0,0
f644305acc646bf3ee089907835eb062,0,0,0,0,134,70,121,0,0,0,0,0,0,0,0
8659dee306a71466e645fa60936182d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd4aa6a134bab9d1eaf35d4fd41c9625,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
d286f6a974968cb92fd4164d48037690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e62b0d144371046912cbcdbe39b22be,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
c2c8be20ae2a89cc91291f3368af2a26,0,0,0,18,0,0,0,0,0,0,0,10,0,9,6
2ca5157b40fc5746ae9c662f4788d96f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6db9a7492b346d05fb6595a177f4a8ff,0,6,8,0,1,9,0,0,0,5,0,22,7,66,56
aaace64326f5c0800e82686760f043c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba5423e5ad5a4e2e344e99257af3854a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6679ad6b3641fb9b1b1bbbf3a3b8ab1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225d0b562ac041750dbe0bbe4174d90a,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
4fff7e8b60d421c0d61c25fc2a1586e2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
4d82c3aa27373c53a39c4cd91f1fe091,0,0,0,0,0,0,75,0,0,0,0,0,10,0,26
2ebc1dcf9f94012958514b44fef9073d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e2acbe4c54a246f9f96b8b96237edfb4,163,97,216,114,0,0,0,0,0,0,0,0,0,0,0
8e5434410ca120f37c2e5cb8c589f8ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e7f649049574d6e23ba7cd4a3f278e3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34508bcddb1a5133e157fcf6ad75fa88,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
3fea176197c0e8bbfd80a143dc2c2d06,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0
da2e3695b131729a3a93f3dbf9db1b69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d7de8607896642708de921854abdd46a,0,0,0,0,33,0,0,0,0,0,0,0,10,0,0
0610a6ff7e9e4f79d5f06a13250267d6,9,18,34,103,0,6,7,0,0,4,7,0,9,0,0
99ce93143c21dc9440ddce407246b737,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
307e321ec53c19b1adbbcd93b7215da0,0,0,0,0,0,0,0,0,0,0,0,0,5,516,0
e67ae6e96932974312c4fcd94f0fc80f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67a27160d594a6b2b3183d4cc5d6a8fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c214ae2b203836550eae2d7576631d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1d50c682abfed706e2706cc9076ceb3,0,0,0,0,1,0,0,0,0,0,0,14,4,26,32
2c511da45cba013c7782b2a119213513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8caca97c64db6ccdaf49319afbccc89f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892335276c8d6ccd87757fcd22688260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2383c5f07a6d08fa13d640e1c5f7dcd4,0,0,0,0,0,0,0,0,0,265,126,0,0,0,0
16be8b3c777142e1a46295f96f8b6f5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6809017d7a7ca4f27ddc742b18dffa0a,0,0,0,0,0,0,0,0,0,0,0,47,79,0,0
66a754f5a64bb1be7051be67a405ef7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7651ee4777e570bd5b4254a8f748d28a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd252ade18f44c37b56fce4cd7e665b6,0,0,7,0,0,0,27,0,0,0,0,0,0,0,0
4793b6e4a6285f71215af9bd7daa3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407bb36d5f5793ab7d0cc26549f0e22a,0,0,0,0,0,0,0,0,0,0,0,0,284,154,0
4e52e0c0f54f29439816b6cd05eb5197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54f010aee0011bd6130d83af476640ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a275aec90fd26e3d887923fd759cfc0b,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
5469c8904492f9e66b182b53b9b3d4f6,0,0,84,57,0,0,191,0,0,0,0,0,0,0,0
be6cdd477a36924e79452ea9524566a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7e2a767b86b0b16654f2b2c3753ca730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3592f09df86cfeabd05e657e16dd82a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3be8b9fd8cb955f5aeacdb6d42e3d69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe03fb4707910ad5675ca614c9f63d78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f6d3f5e7ef8cde02bf2fbcac57e89de,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0
c065dc0b351b9c0a2166fe9e906eca30,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
c842ad31802b3798479b375df3c41944,0,0,0,0,0,0,0,0,0,0,0,0,7,337,0
248e9d47d2814506dea94d32cead1f1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f2ba87dfc723f1772df965dde735ba57,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
c9c60c8187ecf6761d38ff75d8e04018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2857f68a596084493308feb74b4567fa,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
b3f8cd17bc540bc0f840e0f1abbb0dfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ba77dbf21eef6dce7d275b5b1ed1d79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989b4acb2e7b3f3bf6736a2d31db205b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a75b315f7a1617d50edd15511bbac48d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8af2149d8beb97d5255b40e8f53b6d5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153e69835e37c28d0d73d2c4eef306c0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
48a66b34619329481e50ec2b81cbf946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242cc73a1b01ae4e88f90c2b5689f8ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61bf8c58899ab80de9a694c56013cdbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5ced59d01a50fc9c9842abfde234f5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accbc4e5af8dbf5654ef7d333d1bd94e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9b7d8ce108cc26959bce56c19fd8a738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf44fa6c5118e940f390b8820eb85cc6,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0
c76adba1f041b66e871f8079eee8565a,0,0,0,0,0,0,0,0,0,0,0,0,122,113,0
ed8e074c898175c233d595412cd85fe0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ffcb439b5de809c02e6ae6e6ab013c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59c795d15ff34298a00f60b085c308b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55e4ef99261e045ea69b9bf2580e5030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98e61835b5a862065cd8185f0924a691,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
9f74084b459b8deac3b74be331443822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b8a76d4572aaf36d2d3f40bcef54451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47f5997ba6f285a0c627e87e272f4f34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2245838712a2ee090ff21bbb429de173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864405caa89355781698242bc3d1d651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2edc2e2d1403f3717075565985dcdbe1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0de5ce0632257a36cd7cb28561a36c7d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b53eb46bc8a38184d4344e4312f06bc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da52ed745d38da3abbac7e0322b6edd4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48969a190a71ef7bc4d55b1fcb211b94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e54af6f3a0969eebc958d0df4945784,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ed901670522c7d7d5e5064623a6601ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a4c66facda68346ad9f74bfb3b14a695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560db6644b5d66495e9032d1ef513cf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4fc561aa4400eeafc7ada64a98b1b867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b3c097f630efa4cebaf2fec1468bf36,0,58,0,58,0,0,0,0,0,0,0,0,0,0,0
1a65e15ba0f434048e928090706aae5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ed5c073c32b09d2554c6996bbe560468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f2a260c4cf2858746ace7d7f86133cd2,0,0,0,0,0,0,0,36,18,0,0,0,0,0,0
2e973ac9ccae41ea7b808d170d3383b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8eeb9c87cc58e08e214f5fe3b1c5f2a4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aa195696fe2ef6f0718869821c8e05b0,0,0,0,0,0,0,0,0,0,0,0,0,44,90,0
3ac6d7d1e34c9c8b390823e7aea77484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57b95a3db38239857b4be70f62cd027e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909f5aab81114ce6a06baa2eb7e5844e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9b3103e3a7bc1b25cafc2b88155c5fd9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c79f57515919e57dc919404b19986c0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69a84367acc6ffdedd0d2b54ff585ff2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82e16090ad838a9a156901354f283cce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70a399be3abdd5f396c2fd04acf6021d,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
de68d24aeff72d95628e73a6f6a5a78b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b76f181c07b00883e63952c1b8c4fb52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a73a0d2d2c1dcc9aa5fcb24f5b70a2a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e9ed184dfa91b893632134b4b19f77a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792c08d241c127429c2982f26a6856dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdf6001698c06085cdee1f8c0d5236f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85efd670932cdb231adf57e30e919375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84bd9db3de575a061fe3cda575457339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87131a39594acf030a9cdacfc01b2c86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74568c80b9262c48ef46a3b223a0f566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373e2c66fde5199e6e6bedf5cc15b18d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b256d196d624912d4b48654c1c3d283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4922995e651f89d8c96870ec946f3816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce8a3713d4be1ea9813c385b90e1e7c5,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
79b75c6585141c5e8b3e444fb695e717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8557a2b9a2ace90b4d8d78eb692ee6e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74c966ff1c158cd68df60263c30389fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b85423604d99fbed0e75ff36a10fb6c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411ab3ecddcd25895a4de486f67fe7c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c79198ca45d2c9a5e12bcbb21674b77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
